page_path,uses_HeroWrapper,uses_BreadcrumbJsonLd,uses_inline_schema,classification,notes
app/pub-near-hilton-heathrow/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/pub-near-holiday-inn-heathrow/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/pub-near-ibis-heathrow/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/pub-near-marriott-heathrow/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/pub-near-novotel-heathrow/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/pub-near-premier-inn-heathrow/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/pub-near-radisson-blu-heathrow/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/pub-near-renaissance-heathrow/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/pub-near-sofitel-heathrow/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/pub-near-travelodge-heathrow/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/pubs-in-stanwell/page.tsx,1,0,0,keep-as-is-hero-only,
app/quiz-night/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/restaurants-near-heathrow/page.tsx,1,0,0,keep-as-is-hero-only,
app/reviews/page.tsx,0,1,0,keep-as-is-no-hero,
app/safety-and-respect/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/sitemap-page/page.tsx,1,0,0,keep-as-is-hero-only,
app/st-patricks-day/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/staines-pub/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/stanwell-pub/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/summer-garden-parties/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/sunbury-pub/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/sunday-lunch/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/sustainability/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/valentines-day/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/whats-on/drag-shows/page.tsx,0,0,0,keep-as-is-no-breadcrumb,
app/whats-on/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/windsor-pub/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/wraysbury-pub/page.tsx,1,0,1,safe-to-edit-remove-inline,
