rank,id,action,category,priority_score,decision,approval_bucket,business_value,search_opportunity,current_performance_gap,confidence,effort,risk,owner,dependencies,source,notes,collected_at,band,expected_clicks_delta,expected_value_delta
13,SEO-038,(untitled),Authority,40.0,Do now,,2,2,4,5,1,1,Owner,,authority#13,decision suggested -> Do now; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Do now,,
14,SEO-024,(untitled),Metadata,40.0,Do now,,3,2,4,5,2,1,Editorial,SEO-007,"strategy#75, copywriter#50",decision suggested -> Do now; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Do now,,
15,SEO-004,(untitled),Measurement,37.5,Do now,,3,1,5,5,1,1,Owner,,analytics#2(pixel),decision suggested -> Do now; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Do now,,
16,SEO-040,(untitled),Authority,36.0,Do now,,3,3,3,4,2,1,Owner,,authority#15,decision suggested -> Do now; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Do now,,
17,SEO-039,(untitled),Authority,36.0,Schedule,,3,3,4,4,3,1,Owner,,"authority#14, authority#16, authority#19",decision suggested -> Schedule; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Schedule,,
18,SEO-018,(untitled),Content/SSOT,33.33,Do now,,4,1,5,5,2,1,Editorial,,"copywriter#45, copywriter#46, editor-qa#61",decision suggested -> Do now; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Do now,,
19,SEO-029,(untitled),Technical,30.0,Do now,,2,2,3,5,1,1,Owner,,technical#86,decision suggested -> Do now; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Do now,,
20,SEO-020,(untitled),Content/SSOT,30.0,Schedule,,3,2,4,5,3,1,Editorial,,"editor-qa#63, content#34, editor-qa#67, content#41",decision suggested -> Schedule; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Schedule,,
21,SEO-037,(untitled),AEO/Content,27.0,Schedule,,3,3,3,4,3,1,Editorial+Dev,,"content#31, content#40",decision suggested -> Schedule; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Schedule,,
22,SEO-042,(untitled),Authority,20.25,Schedule,,3,3,3,3,3,1,Owner,,"authority#18, authority#24, authority#25",decision suggested -> Schedule; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Schedule,,
23,SEO-026,(untitled),Technical,20.0,Schedule,,2,1,4,5,1,1,Dev,,"technical#82, content#38",decision suggested -> Schedule; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Schedule,,
24,SEO-019,(untitled),Content/SSOT,20.0,Schedule,,3,1,4,5,2,1,Editorial,,editor-qa#60,decision suggested -> Schedule; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Schedule,,
25,SEO-027,(untitled),Technical/SSOT,20.0,Schedule,,2,2,4,5,2,2,Dev,,"technical#85, strategy#78(part)",decision suggested -> Schedule; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Schedule,,
26,SEO-041,(untitled),Authority,18.0,Schedule,,3,2,3,3,2,1,Owner,,authority#17,decision suggested -> Schedule; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Schedule,,
27,SEO-011,(untitled),CRO,16.0,Schedule,,4,1,4,4,2,2,Dev,,"ux-cro#99, ux-cro#104",decision suggested -> Schedule; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Schedule,,
28,SEO-032,(untitled),Technical,16.0,Schedule,,2,2,3,4,2,1,Dev,,"strategy#79, technical#90, technical#92",decision suggested -> Schedule; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Schedule,,
29,SEO-016,(untitled),Content/SSOT,16.0,Schedule,,4,1,4,5,3,2,Dev+Editorial,,"content#28, editor-qa#62, copywriter#54, content#36, technical#85",decision suggested -> Schedule; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Schedule,,
30,SEO-012,(untitled),CRO,15.0,Schedule,,2,1,3,5,1,1,Dev,,ux-cro#105,decision suggested -> Schedule; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Schedule,,
31,SEO-031,(untitled),Technical,15.0,Schedule,,2,1,3,5,1,1,Dev,,"strategy#77, technical#91",decision suggested -> Schedule; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Schedule,,
32,SEO-034,(untitled),Architecture,13.5,Monitor,,3,3,3,3,3,3,Editorial+Dev,SEO-002,"strategy#76, content#29, copywriter#51",decision suggested -> Monitor; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Monitor,,
33,SEO-014,(untitled),CRO,12.0,Monitor,,3,1,3,4,2,1,Dev,,"ux-cro#107, ux-cro#106",decision suggested -> Monitor; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Monitor,,
34,SEO-005,(untitled),Measurement,11.25,Monitor,,3,1,3,5,2,2,Dev,,"analytics#4, analytics#8",decision suggested -> Monitor; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Monitor,,
35,SEO-009,(untitled),CRO,10.67,Monitor,,4,1,4,2,1,2,Owner+Dev,,ux-cro#102,decision suggested -> Monitor; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Monitor,,
36,SEO-006,(untitled),Measurement,10.0,Monitor,,2,1,3,5,2,1,Dev,,"analytics#7, analytics#9, ux-cro#101",decision suggested -> Monitor; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Monitor,,
37,SEO-022,(untitled),Content/SSOT,10.0,Monitor,,2,1,3,5,2,1,Editorial+Dev,,"editor-qa#65, editor-qa#66",decision suggested -> Monitor; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Monitor,,
38,SEO-028,(untitled),Technical/Schema,9.6,Monitor,,2,2,3,4,3,2,Dev,,"strategy#78, technical#88, technical#95, technical#89",decision suggested -> Monitor; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Monitor,,
39,SEO-043,(untitled),Copy/CRO,8.0,Monitor,,2,1,2,4,1,1,Editorial+Dev,,"ux-cro#108, ux-cro#109",decision suggested -> Monitor; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Monitor,,
40,SEO-030,(untitled),Technical/Perf,8.0,Monitor,,2,1,3,4,2,1,Dev,,"technical#84, ux-cro#111",decision suggested -> Monitor; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Monitor,,
41,SEO-036,(untitled),Architecture,7.2,Monitor,,2,2,3,3,3,2,Editorial,SEO-002,"content#33, content#35, editor-qa#69",decision suggested -> Monitor; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Monitor,,
42,SEO-035,(untitled),Architecture,6.0,Monitor,,2,2,3,3,3,3,Editorial+Dev,SEO-002,"content#30, technical#94",decision suggested -> Monitor; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Monitor,,
43,SEO-046,(untitled),Copy,5.33,Monitor,,2,1,2,4,2,1,Editorial,,"copywriter#53, content#37, copywriter#55, copywriter#56",decision suggested -> Monitor; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Monitor,,
44,SEO-033,(untitled),Technical,5.0,Monitor,,1,1,2,5,1,1,Dev,,technical#93,decision suggested -> Monitor; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Monitor,,
45,SEO-044,(untitled),Copy,5.0,Monitor,,1,1,2,5,1,1,Dev,,ux-cro#110,decision suggested -> Monitor; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Monitor,,
46,SEO-045,(untitled),Technical,5.0,Monitor,,1,1,2,5,1,1,Dev,,ux-cro#112,decision suggested -> Monitor; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Monitor,,
