Top pages,Last 3 months Clicks,Previous 3 months Clicks,Last 3 months Impressions,Previous 3 months Impressions,Last 3 months CTR,Previous 3 months CTR,Last 3 months Position,Previous 3 months Position
https://www.the-anchor.pub/blog/euro-2024-viewing,4,6,819,582,0.49%,1.03%,7.88,12.75
https://www.the-anchor.pub/blog/dog-friendly-pub,4,4,340,628,1.18%,0.64%,7.33,16.91
https://www.the-anchor.pub/events/twisted-fairytale-halloween-party-2025-11-01,4,0,162,0,2.47%,0%,5.21,0
https://www.the-anchor.pub/whats-on/drag-shows,4,6,158,70,2.53%,8.57%,8.84,14.93
https://www.the-anchor.pub/staines-pub,3,0,2595,1442,0.12%,0%,10.39,21.74
https://www.the-anchor.pub/stanwell-pub,3,4,746,343,0.4%,1.17%,4.93,8.29
https://www.the-anchor.pub/private-party-venue,3,2,410,113,0.73%,1.77%,25.08,17.6
https://www.the-anchor.pub/bedfont-pub,3,1,339,138,0.88%,0.72%,9.16,22.59
https://www.the-anchor.pub/blog/christmas-market,3,0,311,26,0.96%,0%,8.94,46.38
https://www.the-anchor.pub/heathrow-hotels-pub,3,1,193,127,1.55%,0.79%,12.09,23.17
https://www.the-anchor.pub/blog/curry-club-the-anchor,3,0,173,239,1.73%,0%,12.87,29.86
https://www.the-anchor.pub/blog/tag/live-matches,3,0,109,31,2.75%,0%,6.76,10.81
https://www.the-anchor.pub/blog/monthly-cash-bingo,3,1,77,32,3.9%,3.12%,34.12,7.47
https://www.the-anchor.pub/blog/new-dining-room,3,1,54,61,5.56%,1.64%,5.3,56.7
https://www.the-anchor.pub/blog/tag/christmas,3,0,34,38,8.82%,0%,5.85,34.76
https://www.the-anchor.pub/pizza-tuesday,2,3,2044,673,0.1%,0.45%,18.07,23.38
https://www.the-anchor.pub/blog/autumn-internationals-2024-full-fixtures-highlight,2,0,1183,2259,0.17%,0%,43.56,58.38
https://www.the-anchor.pub/corporate-events,2,0,775,862,0.26%,0%,51.42,53.81
https://www.the-anchor.pub/ashford-pub,2,1,270,131,0.74%,0.76%,11.06,16.38
https://www.the-anchor.pub/blog/a-personal-pub-for-personal-celebrations,2,2,196,116,1.02%,1.72%,23.36,27.1
https://www.the-anchor.pub/blog/sports-update,2,0,77,100,2.6%,0%,7.17,10.77
https://www.the-anchor.pub/blog/day-of-the-dead-halloween-party-costumes-dance-and,2,0,33,12,6.06%,0%,7.15,7.75
https://www.the-anchor.pub/blog/tag/november,2,0,23,5,8.7%,0%,6.65,38.4
https://www.the-anchor.pub/blog/pub-jobs-heathrow,2,0,7,15,28.57%,0%,6.71,40.6
https://www.the-anchor.pub/blog,1,2,2522,3350,0.04%,0.06%,7.02,7.65
https://www.the-anchor.pub/egham-pub,1,0,547,272,0.18%,0%,19.84,25.82
https://www.the-anchor.pub/blog/british-pie-week-2024,1,2,156,103,0.64%,1.94%,9.41,22.13
https://www.the-anchor.pub/events/pub-quiz-night-2025-10-01,1,1,153,21,0.65%,4.76%,5.35,5.24
https://www.the-anchor.pub/events/pub-quiz-night-2025-11-05,1,0,153,0,0.65%,0%,6.43,0
https://www.the-anchor.pub/blog/dog-travel-tips,1,2,146,189,0.68%,1.06%,10.76,21.23
https://www.the-anchor.pub/blog/tag/premier-league,1,0,141,0,0.71%,0%,6.82,0
https://www.the-anchor.pub/blog/sunday-lunch-at-the-anchor-is-back-pre-order-now,1,1,135,174,0.74%,0.57%,8.45,10.14
https://www.the-anchor.pub/events/sleigh-that-tune-2025-12-03,1,0,86,0,1.16%,0%,3.88,0
https://www.the-anchor.pub/events/bingo-night-2025-11-14,1,0,82,0,1.22%,0%,6.55,0
https://www.the-anchor.pub/heathrow-layover-dining,1,0,62,0,1.61%,0%,7.03,0
https://www.the-anchor.pub/blog/stanwell-moor-village,1,0,57,55,1.75%,0%,9.21,13.93
https://www.the-anchor.pub/blog/charity-walk-holly,1,3,41,67,2.44%,4.48%,14.54,16.82
https://www.the-anchor.pub/blog/experience-the-best-beer-at-a-great-pub-near-heath,1,1,38,147,2.63%,0.68%,10.95,21.77
https://www.the-anchor.pub/blog/5-star-food-rating,1,0,36,18,2.78%,0%,10.83,9.28
https://www.the-anchor.pub/blog/tag/christmas-market,1,0,24,7,4.17%,0%,6.54,24.71
https://www.the-anchor.pub/blog/music-bingo-nights,1,1,22,32,4.55%,3.12%,10.82,15.97
https://www.the-anchor.pub/blog/gameshow-house-party,1,0,15,21,6.67%,0%,5.6,25.19
https://www.the-anchor.pub/blog/tag/reviews,1,0,13,15,7.69%,0%,4.31,15.93
https://www.the-anchor.pub/blog/tag/irish,1,0,13,12,7.69%,0%,6.31,10.75
https://www.the-anchor.pub/blog/tag/jobs,1,1,12,6,8.33%,16.67%,6.67,11.33
https://www.the-anchor.pub/blog/tag/remote-work,1,1,8,16,12.5%,6.25%,8.62,21.31
https://www.the-anchor.pub/blog/tag/sunday-roast,1,0,7,21,14.29%,0%,4,14.33
https://www.the-anchor.pub/blog/tag/corporate,1,0,4,11,25%,0%,3.75,27.45
https://www.the-anchor.pub/blog/tag/bingo,1,0,4,7,25%,0%,8.25,12.43
https://www.the-anchor.pub/events/bingo-night-2025-08-29,1,0,1,15,100%,0%,1,5.27
https://www.the-anchor.pub/blog/tag/promotion,1,0,1,135,100%,0%,91,75.37
https://www.the-anchor.pub/drinks/jagerbomb,0,0,447,1624,0%,0%,1,2.32
https://www.the-anchor.pub/post/celebrating-life-and-spirits-day-of-the-dead-traditions,0,1,348,2506,0%,0.04%,1,42.44
https://www.the-anchor.pub/drinks/disaronno,0,0,246,2307,0%,0%,18.59,39.79
https://www.the-anchor.pub/restaurants-near-heathrow,0,0,178,0,0%,0%,32.93,0
https://www.the-anchor.pub/blog/peace-day-stanwell,0,0,161,91,0%,0%,12.01,16.01
https://www.the-anchor.pub/food/pizza,0,1,133,488,0%,0.2%,15.29,20.21
https://www.the-anchor.pub/blog/cheap-christmas-parties-heathrow,0,0,104,0,0%,0%,31.03,0
https://www.the-anchor.pub/drinks/aperol,0,0,96,434,0%,0%,1,1.89
https://www.the-anchor.pub/blog/tag/rugby,0,0,95,0,0%,0%,9.31,0
https://www.the-anchor.pub/drinks/newcastle-brown-ale,0,0,91,1109,0%,0%,1,31.38
https://www.the-anchor.pub/blog/tequila-and-tradition-how-agave-shapes-mexican-cul,0,0,89,107,0%,0%,16.99,38.9
https://www.the-anchor.pub/book-table,0,1,85,49,0%,2.04%,4.82,8.39
https://www.the-anchor.pub/blog/tequila-tasting-events,0,0,85,41,0%,0%,31.66,45.12
https://www.the-anchor.pub/blog/events-offers-2025,0,0,73,32,0%,0%,9.63,24.25
https://www.the-anchor.pub/blog/tag/indian-food,0,2,72,61,0%,3.28%,8.53,36.2
https://www.the-anchor.pub/blog/double-up-offer,0,2,68,43,0%,4.65%,8.71,14.23
https://www.the-anchor.pub/cash-bingo,0,0,59,0,0%,0%,14.66,0
https://www.the-anchor.pub/blog/day-of-the-dead-party,0,0,57,63,0%,0%,11.98,41.35
https://www.the-anchor.pub/drinks/jagermeister,0,0,56,478,0%,0%,1,31.87
https://www.the-anchor.pub/blog/pizza-deals-stanwell-heathrow-tuesdays,0,0,48,0,0%,0%,38.69,0
https://www.the-anchor.pub/blog/autumn-winter-menu,0,0,45,10,0%,0%,7.91,31.2
https://www.the-anchor.pub/blog/pet-friendly-business-tips,0,0,45,68,0%,0%,12.44,40.35
https://www.the-anchor.pub/blog/fathers-day-celebration,0,0,43,36,0%,0%,28.35,49.11
https://www.the-anchor.pub/blog/tag/pizza,0,0,41,46,0%,0%,7.34,16.46
https://www.the-anchor.pub/blog/sustainable-practices,0,2,41,20,0%,10%,40.1,51.15
https://www.the-anchor.pub/drinks/cointreau,0,0,40,179,0%,0%,1,22.09
https://www.the-anchor.pub/blog/national-burger-day,0,0,40,34,0%,0%,9.72,30.88
https://www.the-anchor.pub/events/bingo-night-2025-12-19,0,0,39,0,0%,0%,4.54,0
https://www.the-anchor.pub/blog/reflecting-on-sacrifice-remembrance-day-observance,0,0,38,4,0%,0%,9.66,29.25
https://www.the-anchor.pub/blog/ve-day-celebration,0,0,38,50,0%,0%,42.61,36.6
https://www.the-anchor.pub/blog/tag/pub-menu,0,0,37,18,0%,0%,3.27,21.44
https://www.the-anchor.pub/blog/pravha-beer,0,0,34,60,0%,0%,6.41,20.22
https://www.the-anchor.pub/drinks/jameson,0,0,33,821,0%,0%,1,30.84
https://www.the-anchor.pub/blog/tag/photography,0,0,31,6,0%,0%,16.68,10
https://www.the-anchor.pub/blog/premier-league-2024-25,0,0,28,41,0%,0%,7.57,11.02
https://www.the-anchor.pub/blog/tag/live-events,0,1,28,15,0%,6.67%,8.54,13.8
https://www.the-anchor.pub/blog/tag/quiz-night,0,0,28,31,0%,0%,9.75,25.1
https://www.the-anchor.pub/drinks/coors-light,0,3,26,2744,0%,0.11%,1,6.06
https://www.the-anchor.pub/blog/tag/local-area,0,0,26,97,0%,0%,5.12,45.33
https://www.the-anchor.pub/blog/tag/remembrance-day,0,0,25,6,0%,0%,11.36,39.5
https://www.the-anchor.pub/events/quiz-night-back-to-school-2025-09-03,0,0,25,7,0%,0%,14.04,27.86
https://www.the-anchor.pub/drinks/bushmills,0,0,24,1637,0%,0%,1,65.01
https://www.the-anchor.pub/blog/pancake-day-celebration,0,0,24,192,0%,0%,14.88,33.88
https://www.the-anchor.pub/blog/tag/events,0,1,23,23,0%,4.35%,7.04,15.04
https://www.the-anchor.pub/blog/tag/special-offers,0,0,23,0,0%,0%,12.78,0
https://www.the-anchor.pub/blog/drag-cabaret-nikki,0,0,23,20,0%,0%,20.48,29.8
https://www.the-anchor.pub/blog/tag/children,0,1,23,9,0%,11.11%,22.91,31.44
https://www.the-anchor.pub/blog/salami-day-pizza,0,0,21,28,0%,0%,9.29,49.18
https://www.the-anchor.pub/blog/rum-tasting-caribbean,0,0,20,7,0%,0%,6.45,30.14
https://www.the-anchor.pub/blog/tag/december,0,0,20,4,0%,0%,7.15,28.5
https://www.the-anchor.pub/blog/pub-etiquette-tips,0,0,20,62,0%,0%,10.55,25.52
https://www.the-anchor.pub/drinks/chambord,0,4,19,1722,0%,0.23%,1,56.22
https://www.the-anchor.pub/events/bingo-night-2025-09-19,0,0,19,16,0%,0%,9.53,7.25
https://www.the-anchor.pub/blog/calling-all-pool-players,0,0,17,31,0%,0%,5.24,42.87
https://www.the-anchor.pub/blog/tag/community,0,0,16,8,0%,0%,9.62,15.62
https://www.the-anchor.pub/blog/tag/british-history,0,1,15,12,0%,8.33%,3.73,18.17
https://www.the-anchor.pub/blog/tag/travel,0,0,15,0,0%,0%,9.07,0
https://www.the-anchor.pub/blog/botanist-gin-july-2025,0,0,15,17,0%,0%,9.93,23.06
https://www.the-anchor.pub/blog/tag/drinks,0,0,15,73,0%,0%,11.6,24.51
https://www.the-anchor.pub/blog/six-nations-rugby-at-the-anchor-2023,0,0,14,31,0%,0%,7,57.16
https://www.the-anchor.pub/blog/tag/spirits,0,0,14,8,0%,0%,7.79,27.62
https://www.the-anchor.pub/honey-bee-mine,0,0,13,321,0%,0%,1,17.89
https://www.the-anchor.pub/blog/spring-tasting-night,0,0,13,33,0%,0%,14.46,60.88
https://www.the-anchor.pub/blog/tag/feedback,0,0,13,1,0%,0%,33.23,6
https://www.the-anchor.pub/blog/tag/stanwell-moor,0,0,12,30,0%,0%,8.58,11.9
https://www.the-anchor.pub/blog/unique-events,0,0,12,15,0%,0%,8.58,21.6
https://www.the-anchor.pub/blog/christmas-2021,0,0,11,6,0%,0%,8.91,44.33
https://www.the-anchor.pub/blog/tag/food,0,1,11,14,0%,7.14%,9,17.57
https://www.the-anchor.pub/blog/st-patricks-day-2024,0,0,11,13,0%,0%,14.91,9.23
https://www.the-anchor.pub/blog/the-boys-are-back-in-town,0,0,11,24,0%,0%,15.45,31.75
https://www.the-anchor.pub/blog/new-menu-options-launching-february-1st-2023,0,0,11,36,0%,0%,19.91,13.58
https://www.the-anchor.pub/post/tequila-and-tradition-role-of-agave,0,4,10,755,0%,0.53%,1,19.88
https://www.the-anchor.pub/post/have-you-tried-kraken-rum,0,0,10,25,0%,0%,2.7,48.36
https://www.the-anchor.pub/blog/day-of-dead-traditions,0,0,10,5,0%,0%,8.3,35.4
https://www.the-anchor.pub/blog/25-off-kraken-rum-this-june-manager-s-special,0,0,10,14,0%,0%,9.1,29.79
https://www.the-anchor.pub/blog/cosy-pub-stanwell,0,0,10,25,0%,0%,9.3,38.52
https://www.the-anchor.pub/blog/st-patrick-s-day-2023,0,0,10,13,0%,0%,9.7,9.92
https://www.the-anchor.pub/events/bingo-night-2025-10-17,0,0,10,0,0%,0%,13.3,0
https://www.the-anchor.pub/drinks/sambuca-raspberry,0,2,9,265,0%,0.75%,1,23.72
https://www.the-anchor.pub/blog/tag/pool,0,0,9,14,0%,0%,5.11,7.43
https://www.the-anchor.pub/blog/tag/opening-hours,0,0,9,6,0%,0%,5.89,29.17
https://www.the-anchor.pub/blog/tag/burgers,0,0,9,10,0%,0%,7.33,19.9
https://www.the-anchor.pub/blog/tag/fish-and-chips,0,0,9,31,0%,0%,8,11.61
https://the-anchor.pub/blog/tag/sports,0,0,9,0,0%,0%,9.56,0
https://www.the-anchor.pub/blog/tequila-day-of-dead,0,0,9,3,0%,0%,10,27
https://www.the-anchor.pub/blog/tag/six-nations,0,0,9,0,0%,0%,11.78,0
https://www.the-anchor.pub/events/cosy-comforts-tasting-night-2025-11-07,0,0,8,0,0%,0%,2.88,0
https://www.the-anchor.pub/blog/tag/family-friendly,0,0,8,12,0%,0%,4.12,38.75
https://www.the-anchor.pub/blog/family-friendly-sunday-lunch-heathrow,0,0,8,0,0%,0%,7,0
https://www.the-anchor.pub/blog/prices-frozen-until-autumn-theanchor-pub,0,0,8,4,0%,0%,7.12,76.25
https://www.the-anchor.pub/blog/tag/heathrow-area,0,0,8,0,0%,0%,8.25,0
https://www.the-anchor.pub/blog/monthly-managers-special,0,0,8,20,0%,0%,9.5,18.8
https://www.the-anchor.pub/blog/tag/digital-nomad,0,0,7,18,0%,0%,5.14,19.56
https://www.the-anchor.pub/blog/christmas-fair-at-the-anchor,0,0,7,7,0%,0%,7.71,31.71
https://www.the-anchor.pub/blog/tag/sports,0,0,7,0,0%,0%,8,0
https://www.the-anchor.pub/blog/womens-day-celebration,0,0,7,7,0%,0%,44.29,20.14
https://www.the-anchor.pub/review-the-anchor,0,0,6,482,0%,0%,3.83,6.96
https://the-anchor.pub/blog/tag/premier-league,0,0,6,0,0%,0%,7,0
https://www.the-anchor.pub/blog/tag/diwali,0,0,6,1,0%,0%,8.17,1
https://www.the-anchor.pub/blog/community-feedback,0,0,6,4,0%,0%,24.33,42.75
https://www.the-anchor.pub/blog/jewellery-event,0,0,6,13,0%,0%,26.67,29
https://www.the-anchor.pub/blog/what-is-the-history-of-april-fools-day,0,0,5,6,0%,0%,2.6,18.67
https://www.the-anchor.pub/blog/what-is-race-night,0,0,5,19,0%,0%,3,42
https://www.the-anchor.pub/blog/tag/dog-friendly,0,0,5,453,0%,0%,3.2,4.37
https://www.the-anchor.pub/blog/stanwell-moor-brew,0,1,5,23,0%,4.35%,3.4,30.17
https://www.the-anchor.pub/blog/tag/savings,0,0,5,0,0%,0%,5,0
https://www.the-anchor.pub/blog/pet-ownership-benefits,0,0,5,11,0%,0%,7.2,61.45
https://www.the-anchor.pub/blog/piano-christmas-performance,0,0,5,0,0%,0%,9.6,0
https://www.the-anchor.pub/blog/tag/football,0,0,5,25,0%,0%,10.4,8.68
https://the-anchor.pub/blog/tag/rugby,0,0,5,0,0%,0%,33,0
https://www.the-anchor.pub/blog/tag/terrestrial-sport,0,0,5,0,0%,0%,36.8,0
https://www.the-anchor.pub/drinks/gordons-pink,0,1,5,964,0%,0.1%,49.2,66.04
https://www.the-anchor.pub/blog/tabs-are-changing,0,0,4,15,0%,0%,3.5,64
https://www.the-anchor.pub/blog/tag/team-sports,0,0,4,5,0%,0%,4,9.6
https://www.the-anchor.pub/blog/friday-extended-hours,0,0,4,0,0%,0%,5.75,0
https://www.the-anchor.pub/blog/tag/british-pie-week,0,0,4,4,0%,0%,8.75,42.75
https://www.the-anchor.pub/post/experience-the-magic-at-the-anchor-s-christmas-market,0,0,4,4,0%,0%,9.75,15
https://www.the-anchor.pub/blog/december-celebrations,0,0,4,27,0%,0%,10.75,41.04
https://www.the-anchor.pub/blog/tag/shopping,0,0,4,10,0%,0%,12,16
https://www.the-anchor.pub/blog/tag/artisan,0,0,4,3,0%,0%,14,18
https://www.the-anchor.pub/blog/tag/family-dining,0,0,4,3,0%,0%,17,5.33
https://www.the-anchor.pub/drinks/wine,0,6,3,688,0%,0.87%,1,9.4
https://www.the-anchor.pub/blog/tag/festive-menu,0,0,3,49,0%,0%,3.33,38.35
https://www.the-anchor.pub/blog/tag/volunteer,0,0,3,5,0%,0%,3.67,20.8
https://the-anchor.pub/blog/tag/romantic-dining,0,1,3,6,0%,16.67%,4,8.83
https://www.the-anchor.pub/blog/world-photography-day-embracing-stanwell-moor-s-ch,0,0,3,0,0%,0%,6,0
https://www.the-anchor.pub/blog/kindness-day,0,0,3,9,0%,0%,6.33,50.78
https://www.the-anchor.pub/blog/earth-day-cleanup,0,0,3,2,0%,0%,7,21
https://www.the-anchor.pub/blog/tag/environment,0,0,3,1,0%,0%,7,17
https://www.the-anchor.pub/sitemap-page,0,0,3,4,0%,0%,7,27.5
https://www.the-anchor.pub/blog/tag/private-dining,0,0,3,11,0%,0%,7.33,82.45
https://www.the-anchor.pub/privacy-policy,0,1,3,23,0%,4.35%,9.67,36.09
https://the-anchor.pub/blog/tag/special-offers,0,0,3,0,0%,0%,11,0
https://www.the-anchor.pub/blog/tag/pub-food,0,0,3,5,0%,0%,11.33,64.8
https://www.the-anchor.pub/blog/tag/dining,0,0,3,1,0%,0%,13,2
https://www.the-anchor.pub/blog/tag/manager-picks,0,0,3,0,0%,0%,17.67,0
https://www.the-anchor.pub/blog/tag/mexican-culture,0,0,3,7,0%,0%,19.33,20.71
https://www.the-anchor.pub/blog/tag/parties,0,0,3,22,0%,0%,59.33,80.45
https://www.the-anchor.pub/drinks/captain-morgan-gold-spiced-rum,0,0,2,138,0%,0%,1,51.01
https://www.the-anchor.pub/drinks/carling,0,13,2,4516,0%,0.29%,1,21.86
https://the-anchor.pub/blog/tag/dining,0,0,2,5,0%,0%,2,4.8
https://www.the-anchor.pub/blog/tag/careers,0,0,2,4,0%,0%,2.5,34
https://www.the-anchor.pub/blog/tag/pancake-day,0,0,2,27,0%,0%,3,31.74
https://www.the-anchor.pub/blog/tag/romantic-dining,0,0,2,5,0%,0%,4,9.2
https://www.the-anchor.pub/blog/tag/green,0,0,2,3,0%,0%,5,15.67
https://www.the-anchor.pub/blog?page=4,0,0,2,7,0%,0%,5.5,16
https://www.the-anchor.pub/blog/tag/drag-cabaret,0,0,2,2,0%,0%,6,4
https://www.the-anchor.pub/blog/new-year-celebration,0,0,2,4,0%,0%,6.5,14.5
https://www.the-anchor.pub/drinks/managers-special,0,0,2,0,0%,0%,6.5,0
https://www.the-anchor.pub/blog/tag/venue-hire,0,0,2,17,0%,0%,7,40.82
https://www.the-anchor.pub/blog/christmas-venue,0,1,2,80,0%,1.25%,7.5,44.39
https://www.the-anchor.pub/blog/tag/jewellery,0,0,2,2,0%,0%,8,18
https://the-anchor.pub/blog/tag/heathrow-area,0,0,2,0,0%,0%,8.5,0
https://www.the-anchor.pub/blog/tag/charity,0,0,2,6,0%,0%,9.5,37.5
https://www.the-anchor.pub/blog/keeping-up-appearances,0,0,2,3,0%,0%,10.5,46
https://www.the-anchor.pub/blog/tag/italian,0,0,2,2,0%,0%,10.5,12.5
https://www.the-anchor.pub/blog/womens-day-2024,0,0,2,4,0%,0%,10.5,24.5
https://www.the-anchor.pub/blog?page=3,0,0,2,25,0%,0%,11,29.36
https://www.the-anchor.pub/blog/rum-tasting-september,0,0,2,6,0%,0%,13.5,24.17
https://www.the-anchor.pub/blog/tag/kindness-day,0,0,2,3,0%,0%,13.5,5
https://www.the-anchor.pub/blog/tag/wifi,0,0,2,40,0%,0%,19,64.7
https://www.the-anchor.pub/blog/free-pint-offer-this-november,0,0,2,7,0%,0%,27.5,42.29
https://www.the-anchor.pub/post/traveling-digital-nomad-with-pet-guide,0,1,2,342,0%,0.29%,34,35.64
https://www.the-anchor.pub/event-details/gameshow-house-party-game-night-extravaganza,0,0,1,6,0%,0%,1,39.83
http://the-anchor.pub/,0,0,1,0,0%,0%,2,0
https://www.the-anchor.pub/blog/tag/renovations,0,0,1,0,0%,0%,2,0
https://www.the-anchor.pub/blog/tag/indian-culture,0,0,1,12,0%,0%,3,22.83
https://www.the-anchor.pub/blog/tag/live-sports,0,0,1,9,0%,0%,3,7.67
https://www.the-anchor.pub/blog/tag/culture,0,0,1,1,0%,0%,4,7
https://www.the-anchor.pub/blog/tag/guide,0,0,1,3,0%,0%,4,33.33
https://www.the-anchor.pub/post/the-botanist-gin-july-2025-managers-special-stanwell-moor,0,0,1,41,0%,0%,4,17.54
https://www.the-anchor.pub/blog/tag/market,0,0,1,3,0%,0%,5,14.33
https://www.the-anchor.pub/blog/this-december-at-the-anchor,0,0,1,4,0%,0%,5,26.25
https://www.the-anchor.pub/blog/quiz-night-at-the-anchor,0,0,1,4,0%,0%,7,61.75
https://www.the-anchor.pub/blog/tag/entertainment,0,0,1,9,0%,0%,7,42.11
https://www.the-anchor.pub/blog/tag/improvements,0,0,1,1,0%,0%,8,1
https://www.the-anchor.pub/blog/tag/mexican,0,0,1,2,0%,0%,8,33
https://www.the-anchor.pub/blog/tag/parking,0,0,1,0,0%,0%,8,0
https://www.the-anchor.pub/post/womens-world-cup-final-the-anchor,0,0,1,6,0%,0%,8,34.33
https://www.the-anchor.pub/blog/tag/business-tips,0,0,1,0,0%,0%,9,0
https://www.the-anchor.pub/blog/tag/mental-health,0,0,1,1,0%,0%,9,7
https://www.the-anchor.pub/blog/tag/variety,0,0,1,0,0%,0%,9,0
https://www.the-anchor.pub/blog/easter-weekend-fun-at-the-anchor-pub,0,0,1,3,0%,0%,10,81.67
https://www.the-anchor.pub/blog/tag/beer-garden,0,0,1,34,0%,0%,10,55.35
https://www.the-anchor.pub/blog/tag/couples,0,0,1,0,0%,0%,10,0
https://www.the-anchor.pub/blog/tag/music-bingo,0,0,1,11,0%,0%,10,11.45
https://www.the-anchor.pub/blog/valentines-day-meal-offer-for-two,0,0,1,14,0%,0%,10,59.64
https://www.the-anchor.pub/blog/winter-hours-cosy-times-at-the-anchor,0,0,1,96,0%,0%,10,80.42
https://the-anchor.pub/blog/tag/business-tips,0,0,1,0,0%,0%,11,0
https://www.the-anchor.pub/blog/tag/awareness,0,0,1,0,0%,0%,11,0
https://www.the-anchor.pub/blog/tag/cocktails,0,0,1,62,0%,0%,11,57.79
https://www.the-anchor.pub/blog/tag/village-pub,0,0,1,4,0%,0%,11,3.75
https://www.the-anchor.pub/images/page-headers/christmas-parties/christmas-parties.jpg,0,0,1,0,0%,0%,11,0
https://www.the-anchor.pub/images/page-headers/home/seasonal/christmas/page-headers-homepage.jpg,0,0,1,0,0%,0%,11,0
https://www.the-anchor.pub/blog/tag/beer,0,0,1,58,0%,0%,12,30.93
https://www.the-anchor.pub/blog/tag/ve-day,0,0,1,3,0%,0%,12,5.33
https://www.the-anchor.pub/blog/tag/weekly-specials,0,1,1,42,0%,2.38%,12,41.19
https://www.the-anchor.pub/drinks/martini-extra-dry-vermouth,0,0,1,259,0%,0%,12,43.51
https://www.the-anchor.pub/blog/tag/local-heroes,0,0,1,8,0%,0%,13,30
https://www.the-anchor.pub/blog/tag/responsibility,0,0,1,0,0%,0%,13,0
https://www.the-anchor.pub/blog/tag/shrove-tuesday,0,0,1,2,0%,0%,14,27.5
https://www.the-anchor.pub/blog/tag/service-change,0,0,1,0,0%,0%,17,0
https://www.the-anchor.pub/blog/tag/december-events,0,0,1,1,0%,0%,34,24
https://www.the-anchor.pub/blog/company-celebrations,0,1,1,121,0%,0.83%,40,24.42
http://www.the-anchor.pub/?utm_source=google&utm_medium=organic&utm_campaign=google_business,0,130,0,2470,0%,5.26%,0,12.84
https://www.the-anchor.pub/food,0,19,0,1648,0%,1.15%,0,9.42
https://www.the-anchor.pub/post/british-chip-shop-guide,0,15,0,2047,0%,0.73%,0,15.08
https://www.the-anchor.pub/drinks/el-pico-sauvignon-blanc,0,15,0,521,0%,2.88%,0,3.78
https://www.the-anchor.pub/post/sunday-lunch-at-the-anchor,0,10,0,287,0%,3.48%,0,14.28
