Top queries,Last 3 months Clicks,Previous 3 months Clicks,Last 3 months Impressions,Previous 3 months Impressions,Last 3 months CTR,Previous 3 months CTR,Last 3 months Position,Previous 3 months Position
2 for tuesday,1,0,67,1,1.49%,0%,8.18,33
pubs near heathrow terminal 4,1,0,55,96,1.82%,0%,11.15,11.78
stanwell parking,1,0,49,0,2.04%,0%,8.84,0
pubs in staines,1,0,36,165,2.78%,0%,25.97,30.55
stanwell pubs,1,0,32,67,3.12%,0%,5.31,5.49
anchor quiz,1,0,30,0,3.33%,0%,7.47,0
pubs heathrow,1,0,27,1,3.7%,0%,6.37,8
the anchor sunday roast,1,0,25,42,4%,0%,9.28,6.12
roast near me,1,0,25,16,4%,0%,16.08,12.88
restaurant near me,1,0,19,26,5.26%,0%,18.21,23.38
christmas market near heathrow,1,0,18,0,5.56%,0%,7.28,0
country pubs near heathrow airport,1,1,17,47,5.88%,2.13%,10.59,10.43
christmas dinner near me,1,0,17,4,5.88%,0%,14.29,21
restaurants near heathrow,1,0,14,1,7.14%,0%,35.57,2
pub quiz near me,1,0,13,1,7.69%,0%,10,5
anchor restaurant,1,0,9,9,11.11%,0%,6.89,28.67
the anchor events,1,0,8,9,12.5%,0%,3,4.67
christmas day dinner near me,1,0,8,2,12.5%,0%,20.75,12.5
restaurants near heathrow terminal 5,1,0,7,18,14.29%,0%,23.86,39.11
private dining near me,1,1,7,2,14.29%,50%,26.43,14
christmas day lunch near me,1,0,6,2,16.67%,0%,6.83,11.5
christmas lunch near me,1,0,6,3,16.67%,0%,9.83,13.67
pub near me with food,1,0,4,0,25%,0%,1,0
sunday roast near me open now,1,0,4,3,25%,0%,3.5,9.33
restaurants in terminal 5 heathrow,1,0,4,1,25%,0%,27,36
karaoke near me,1,0,3,5,33.33%,0%,16.33,19
places to eat near heathrow terminal 5,1,0,3,20,33.33%,0%,21,35.4
christmas day dinners near me,1,0,3,0,33.33%,0%,28.33,0
xmas dinner 2025 near me,1,0,2,0,50%,0%,2.5,0
the anchor food,1,0,2,0,50%,0%,4.5,0
good roast dinners near me,1,0,2,3,50%,0%,5,23.67
best christmas lunch near me,1,0,2,0,50%,0%,9,0
carvery near me,1,0,2,3,50%,0%,15,6.33
christmas parties 2025 near me,1,0,1,0,100%,0%,1,0
silent disco new years eve,1,0,1,0,100%,0%,1,0
top rated sunday roast,1,0,1,0,100%,0%,1,0
christmas dinner london pub,1,0,1,0,100%,0%,2,0
pub grub,1,0,1,0,100%,0%,2,0
pubs egham,1,0,1,5,100%,0%,2,50.2
pubs near me sunday roast,1,0,1,0,100%,0%,2,0
pubs west drayton,1,0,1,0,100%,0%,2,0
sunday roast delivery near me,1,0,1,0,100%,0%,2,0
chef and brewer,1,0,1,0,100%,0%,3,0
specials at papa murphy's today,1,0,1,0,100%,0%,3,0
airline pub,1,0,1,0,100%,0%,4,0
christmas party near me,1,0,1,0,100%,0%,6,0
heathrow terminal 2 short stay parking,1,0,1,0,100%,0%,6,0
best christmas meals near me,1,0,1,0,100%,0%,58,0
british pub food menu staines,0,0,662,214,0%,0%,11.26,15.35
sunday roasts staines,0,0,474,76,0%,0%,9.73,33.96
junction 14 m25,0,0,381,34,0%,0%,8.81,9.24
two for tuesday deals,0,0,308,0,0%,0%,32.05,0
pubs with private rooms in staines,0,0,267,136,0%,0%,11.43,12.32
tuesday takeaway deals,0,0,256,0,0%,0%,28.82,0
pubs heathrow terminal 3,0,0,248,30,0%,0%,8.81,14.9
traditional english pubs staines,0,0,246,197,0%,0%,12.65,10.85
pubs near heathrow airport,0,0,229,72,0%,0%,26.06,25.75
pubs for wedding receptions in staines,0,0,222,89,0%,0%,9.8,9.37
autumn rugby internationals 2024,0,0,215,353,0%,0%,38.22,46.69
tuesday pizza deals,0,0,183,224,0%,0%,13.06,24.71
popular shots,0,0,172,277,0%,0%,1,1
heathrow terminal 5 pub,0,0,165,95,0%,0%,12.43,20.08
pub heathrow,0,0,139,17,0%,0%,27.27,24.35
corporate events near heathrow terminal 5,0,0,136,67,0%,0%,4.89,9.87
pub near heathrow,0,0,119,73,0%,0%,8.5,14.32
christmas party in staines,0,0,117,4,0%,0%,7.32,42.25
christmas parties staines,0,0,114,9,0%,0%,7.32,16
fish and chips heathrow airport,0,0,108,57,0%,0%,8.54,9.21
kids parties heathrow,0,0,106,11,0%,0%,14.21,67.09
pubs in stanwell,0,4,101,163,0%,2.45%,4.83,5.01
heathrow terminal 3 pubs,0,0,101,70,0%,0%,11.42,15.27
book venue near heathrow,0,0,101,66,0%,0%,41.43,49.3
two for tuesday,0,0,99,0,0%,0%,6.89,0
heathrow t5 restaurants,0,0,98,22,0%,0%,43.89,44
venues for hire staines,0,0,97,63,0%,0%,38.67,38.06
heathrow terminal 3 postcode short stay car park,0,0,96,0,0%,0%,28.26,0
heathrow pubs,0,1,95,28,0%,3.57%,9.38,37.57
cheapest way to park at heathrow,0,0,95,0,0%,0%,42.28,0
meetings and event heathrow,0,0,92,74,0%,0%,70.77,70.26
rugby autumn internationals 2024,0,0,90,247,0%,0%,45.9,47.47
lhr parking long stay,0,0,89,0,0%,0%,65.19,0
urban pizza stanwell moor,0,0,88,0,0%,0%,7.92,0
celebrate space at heathrow,0,0,87,69,0%,0%,36.79,36.03
christmas party in heathrow,0,0,82,65,0%,0%,28.24,23.49
venues for hire heathrow,0,0,80,44,0%,0%,43.67,41.27
book space near heathrow,0,0,80,12,0%,0%,79.84,63.75
t5 restaurants,0,0,78,85,0%,0%,47.74,49.06
heathrow parking amend booking,0,0,76,0,0%,0%,42.14,0
feltham pub,0,0,75,38,0%,0%,10.77,23.16
boardroom heathrow,0,0,74,43,0%,0%,67.58,69.12
autumn internationals 2024,0,0,72,487,0%,0%,40.49,58.2
november internationals,0,0,72,91,0%,0%,72.18,64.43
food near me,0,2,71,136,0%,1.47%,12.17,14.68
the anchor london,0,0,69,244,0%,0%,30.12,37.62
heathrow spotting guide,0,0,65,0,0%,0%,8.86,0
heathrow terminal 2 pubs,0,0,65,29,0%,0%,12.66,17
el pico cabernet sauvignon,0,1,64,36,0%,2.78%,9.91,7.75
tuesday special pizza,0,0,63,1,0%,0%,7.79,31
pub heathrow terminal 5,0,0,61,6,0%,0%,10.82,11.33
staines restaurants,0,0,61,47,0%,0%,57.87,58.98
heathrow parking cheapest,0,0,60,0,0%,0%,45.12,0
tw19 6aq,0,0,59,58,0%,0%,5.53,6.4
the anchor menu,0,0,59,52,0%,0%,8.69,26.19
pizza deals bedfont,0,0,59,62,0%,0%,17.69,22.06
bars near heathrow airport,0,0,59,13,0%,0%,49.27,34.62
anchor pub menu,0,0,58,23,0%,0%,10.28,17.48
heathrow long term car parking,0,0,57,0,0%,0%,23.11,0
meeting rooms near heathrow,0,0,57,81,0%,0%,68.12,77.6
cheapest parking in heathrow,0,0,56,0,0%,0%,47.36,0
two for tuesday pizza,0,0,55,1,0%,0%,17.16,35
baa advance parking heathrow,0,0,55,0,0%,0%,29.13,0
short term car park heathrow,0,0,53,0,0%,0%,17,0
heathrow airport fish and chips,0,0,52,37,0%,0%,9.56,11.22
heathrow terminal 3 pub,0,0,51,41,0%,0%,10.43,11.59
november rugby internationals,0,0,51,60,0%,0%,69.65,75.72
fish and chips heathrow,0,0,50,39,0%,0%,6.26,7.46
anchor bar,0,0,50,90,0%,0%,13.08,16.8
how to book heathrow parking,0,0,50,0,0%,0%,54.76,0
restaurants in staines,0,0,50,31,0%,0%,57.22,57.97
short term car parking heathrow terminal 3,0,0,49,0,0%,0%,28.14,0
heathrow airport terminal 1 parking,0,0,49,0,0%,0%,85.53,0
where is junction 14 on m25,0,0,48,10,0%,0%,9.52,10.5
tuesday offer,0,0,48,0,0%,0%,71,0
best fish and chips heathrow airport,0,0,47,22,0%,0%,6.89,8.36
london heathrow terminal 2 short stay parking postcode,0,0,46,18,0%,0%,41.07,92.61
christmas party in egham,0,0,46,0,0%,0%,65.46,0
heathrow spotting locations,0,0,45,0,0%,0%,12.51,0
heathrow terminal 4 restaurants,0,0,45,21,0%,0%,34.69,43.81
heathrow terminal 2 restaurants,0,0,44,2,0%,0%,38.75,35
fish and chips heathrow airport terminal 5,0,0,43,25,0%,0%,11.63,11.12
heathrow terminal 5 pubs,0,0,43,30,0%,0%,12.02,24.87
the anchor pub menu,0,1,42,41,0%,2.44%,5.17,21.78
cheap christmas parties heathrow,0,0,42,9,0%,0%,6.93,9.78
british beer brands,0,0,41,5,0%,0%,1,4
anchor bar menu,0,0,41,8,0%,0%,10.63,37.62
restaurants staines,0,1,41,25,0%,4%,60.66,57.56
heathrow terminal 2 pub,0,0,40,44,0%,0%,12.05,15.77
pub near heathrow airport,0,0,40,11,0%,0%,13.55,24.45
disaronno,0,0,40,654,0%,0%,33.27,67.35
heathrow airport terminal 4 long stay parking,0,0,40,0,0%,0%,45.27,0
pub near me,0,3,39,91,0%,3.3%,15.56,9.51
dia de los muertos symbols,0,0,38,12,0%,0%,1,5.25
heathrow terminal 5 bars,0,0,38,113,0%,0%,25.21,46.65
the anchor pub quiz,0,0,37,0,0%,0%,5.03,0
where to watch planes at heathrow,0,0,37,0,0%,0%,10.22,0
stanwell moor road,0,0,36,12,0%,0%,10.19,10.58
heathrow terminal 3 short stay car park price,0,0,36,0,0%,0%,35.89,0
official heathrow airport parking,0,0,36,0,0%,0%,40.53,0
heathrow parking booking,0,0,36,0,0%,0%,41.36,0
special events facility in london heathrow,0,0,36,14,0%,0%,79.58,66.43
english beer brands,0,0,35,47,0%,0%,1,1
heathrow terminal 3 car parking long stay,0,0,35,0,0%,0%,22.11,0
pizza deals tuesday,0,0,35,7,0%,0%,22.91,25.57
car park heathrow long stay,0,0,34,0,0%,0%,46.26,0
anchor pub quiz,0,0,33,4,0%,0%,4.42,9.5
the anchor surrey,0,0,33,50,0%,0%,9.18,12.18
heathrow plane spotting area,0,0,33,0,0%,0%,13.85,0
secure parking heathrow airport,0,0,33,0,0%,0%,25.79,0
heathrow restaurants,0,0,33,0,0%,0%,44.09,0
pubs in staines town centre,0,0,32,31,0%,0%,11.66,12.32
pubs in heathrow,0,0,32,12,0%,0%,15.03,39.83
heathrow terminal 2 long term parking,0,0,32,0,0%,0%,31.5,0
long term parking heathrow 2,0,0,32,0,0%,0%,58.69,0
heathrow venue hire,0,0,32,19,0%,0%,61.34,51.05
christmas parties heathrow,0,0,31,118,0%,0%,10.39,19.47
heathrow airport restaurants,0,0,31,0,0%,0%,28.77,0
heathrow t2 long stay car park,0,0,31,0,0%,0%,45.42,0
birthday cake heathrow,0,0,31,0,0%,0%,50.19,0
autumn rugby internationals fixtures,0,0,31,76,0%,0%,62.16,47.68
2 for tuesday pizza,0,0,30,2,0%,0%,7.7,35
plane spotting locations heathrow,0,0,30,0,0%,0%,12.63,0
2 for 1 tuesday,0,0,30,0,0%,0%,16.47,0
heathrow parking terminal 4 postcode,0,0,30,0,0%,0%,31.3,0
common shots,0,0,29,55,0%,0%,1,1
pubs near heathrow terminal 2,0,1,29,26,0%,3.85%,8.59,13.08
parking heathrow cheap,0,0,29,0,0%,0%,46.97,0
host a meeting in heathrow terminal 5,0,0,29,9,0%,0%,67,56.56
watch rugby autumn internationals,0,0,29,92,0%,0%,80.38,61.65
most popular shots,0,0,28,55,0%,0%,1,1
terminal 2 heathrow restaurants,0,0,28,27,0%,0%,43.68,47.07
anchor pub london,0,0,28,103,0%,0%,45.07,57.39
best liqueurs,0,0,27,36,0%,0%,1,1
italian liqueurs,0,0,27,77,0%,0%,1,1
terminal 5 pub,0,0,27,0,0%,0%,4.85,0
the anchor bar,0,0,27,58,0%,0%,15.78,16.88
cheap car parking at heathrow airport,0,0,27,0,0%,0%,81.22,0
stanwell pub,0,0,26,37,0%,0%,4.73,5.11
two for tuesdays,0,0,26,0,0%,0%,35.81,0
the anchor pub near me,0,2,25,41,0%,4.88%,9,13.49
the anchor london menu,0,0,24,44,0%,0%,12.21,31.66
restaurants at heathrow,0,0,24,0,0%,0%,43.25,0
long time parking heathrow airport,0,0,24,0,0%,0%,45,0
bingo budget tips,0,0,24,0,0%,0%,92.79,0
shared parties night surrey,0,0,23,0,0%,0%,13.96,0
heathrow car parking long term,0,0,23,0,0%,0%,19.61,0
long term car parking at heathrow,0,0,23,0,0%,0%,21.65,0
pizza buy one get one free near me,0,0,23,72,0%,0%,32.13,33.54
italian liqueur,0,0,22,41,0%,0%,1,1
pub heathrow terminal 2,0,0,22,1,0%,0%,12.05,18
good restaurants royal holloway,0,0,22,0,0%,0%,30.64,0
meeting rooms london heathrow,0,0,22,0,0%,0%,86.09,0
day of the dead activities,0,0,21,5,0%,0%,1,1
pizza tuesday deals,0,0,21,8,0%,0%,8,27.5
horton road,0,0,21,13,0%,0%,10.24,9.46
heathrow long stay car park t3,0,0,21,0,0%,0%,39,0
heathrow long stay parking t2,0,0,21,0,0%,0%,40.24,0
heathrow dining,0,0,21,0,0%,0%,41.81,0
cheapest car parking heathrow,0,0,21,0,0%,0%,44.86,0
heathrow parking terminal 2 charges,0,0,21,0,0%,0%,47.43,0
park my car heathrow,0,0,21,0,0%,0%,48.52,0
father's day restaurant norwich airport,0,0,21,19,0%,0%,48.95,65.95
board rooms heathrow,0,0,21,0,0%,0%,68.1,0
autumn rugby internationals at twickenham,0,0,21,10,0%,0%,77.33,75.9
most popular shots at a bar,0,0,20,37,0%,0%,1,1
inches cider offers,0,0,20,0,0%,0%,2.7,0
pubs in windsor with parking,0,0,20,0,0%,0%,6.75,0
terminal 3 heathrow pubs,0,0,20,0,0%,0%,10.45,0
anchor line christmas menu,0,0,20,2,0%,0%,11.35,59.5
el pico sauvignon blanc,0,3,20,81,0%,3.7%,12.2,3.67
plane spotting heathrow,0,0,20,0,0%,0%,13.95,0
anchor menu,0,0,20,23,0%,0%,22.9,53.83
heathrow t5 long stay parking directions,0,0,20,0,0%,0%,44.85,0
the anchor line,0,0,20,20,0%,0%,54.55,59.35
best restaurants royal holloway,0,0,19,0,0%,0%,30.37,0
cheap heathrow parking,0,0,19,0,0%,0%,32.32,0
food places royal holloway,0,0,19,0,0%,0%,36.84,0
bars in heathrow terminal 5,0,0,19,54,0%,0%,39.26,39.44
heathrow long stay terminal 3 parking,0,0,19,0,0%,0%,44.05,0
restaurants royal holloway,0,0,19,0,0%,0%,44.21,0
pub quiz bingo,0,0,19,15,0%,0%,59.79,93.47
famous irish whiskey brands,0,0,18,2,0%,0%,1,1
popular bar shots,0,0,18,32,0%,0%,1,1
what are 5 symbols of day of the dead,0,0,18,8,0%,0%,1,14.75
inches drink,0,0,18,20,0%,0%,1.78,24.85
the ancor pub,0,0,18,23,0%,0%,7.33,7.39
inches draught abv,0,0,18,2,0%,0%,10.61,11.5
heathrow parking long stay terminal 3,0,0,18,0,0%,0%,42.83,0
places to eat in staines,0,0,18,37,0%,0%,55.67,56.3
hotels at heathrow with av-equipped conference rooms,0,0,18,0,0%,0%,77.61,0
champion environmental technologies,0,0,18,9,0%,0%,87.11,94.78
the anchor christmas menu,0,0,17,0,0%,0%,7,0
the anchor.pub,0,0,17,14,0%,0%,7.41,8.71
roast dinner staines,0,0,17,4,0%,0%,10.12,17.25
the anchor inn,0,1,17,78,0%,1.28%,13.71,37.03
heathrow parking keep your keys,0,0,17,0,0%,0%,33.82,0
places to eat heathrow t3,0,0,17,16,0%,0%,38.41,46.88
egham to heathrow terminal 3,0,0,17,0,0%,0%,40.88,0
banana sambuca tesco,0,0,17,0,0%,0%,42.71,0
british ale pubs in staines,0,0,17,30,0%,0%,59.47,47.1
workspace near heathrow airport,0,0,17,31,0%,0%,70.76,79.35
conference rooms heathrow,0,0,17,0,0%,0%,78.24,0
famous shots,0,0,16,21,0%,0%,1,1
m25 jct 14,0,0,16,2,0%,0%,8.5,19
sunday lunch near me,0,1,16,20,0%,5%,13.19,17.6
places to eat near me,0,0,16,41,0%,0%,23.62,16.12
anchor tavern,0,0,16,16,0%,0%,32.62,45.44
family friendly restaurants heathrow,0,0,16,0,0%,0%,43.5,0
heathrow natural food and beverage,0,0,16,0,0%,0%,43.56,0
coworking space near heathrow airport,0,0,16,0,0%,0%,80.25,0
symbols of dia de los muertos,0,0,15,0,0%,0%,1,0
inches cider draught abv,0,0,15,20,0%,0%,8.07,10.7
terminal 5 pubs,0,0,15,13,0%,0%,11.53,11.08
heathrow airport terminal 5 short stay car park postcode,0,0,15,0,0%,0%,33.13,0
heathrow terminal 2 parking rates,0,0,15,0,0%,0%,34.33,0
heathrow terminal 4 food,0,0,15,0,0%,0%,34.8,0
book parking at heathrow,0,0,15,0,0%,0%,39.07,0
best restaurant apps royal holloway,0,0,15,0,0%,0%,44.27,0
heathrow hotel with event spaces,0,0,15,0,0%,0%,82.73,0
tequila tasting,0,0,15,19,0%,0%,85.27,56.05
anchor events,0,0,14,1,0%,0%,2.86,6
where is junction 14 on the m25,0,0,14,0,0%,0%,8.5,0
hatton cross plane spotting,0,0,14,0,0%,0%,11.79,0
pub feltham,0,0,14,3,0%,0%,12.86,18.67
pizza 2 for tuesday,0,0,14,3,0%,0%,13.36,22.67
ireland vs south africa rugby highlights november 2024,0,0,14,0,0%,0%,19.5,0
autumn internationals 2024 dates,0,0,14,44,0%,0%,23.29,38.02
heathrow terminal 5 long stay postcode,0,0,14,0,0%,0%,38.79,0
rugby internationals 2024,0,0,14,51,0%,0%,47.21,47.29
autumn internationals fixtures,0,0,14,250,0%,0%,62.29,59.99
book a conference venue heathrow,0,0,14,9,0%,0%,75.21,71.78
"the anchor, horton rd, stanwell moor, staines tw19 6aq, united kingdom",0,1,13,53,0%,1.89%,1,1.81
top 10 beers,0,0,13,17,0%,0%,1,1
anchor windsor,0,0,13,5,0%,0%,6,8.8
fish and chips in heathrow airport,0,0,13,5,0%,0%,11,10.6
pizza tuesday,0,0,13,11,0%,0%,19.31,19.82
pub food near me,0,1,13,17,0%,5.88%,26.62,18.06
pizza deals on tuesday,0,0,13,12,0%,0%,27.23,31.83
terminal 5 bars,0,0,13,38,0%,0%,36.54,51.82
heathrow overnight parking,0,0,13,0,0%,0%,38.23,0
long stay parking near heathrow,0,0,13,0,0%,0%,42.08,0
places to eat staines,0,0,13,18,0%,0%,50.38,50.61
team building heathrow,0,0,13,179,0%,0%,51.62,45.17
bar at london heathrow airport,0,0,13,0,0%,0%,78.15,0
day of the dead food,0,0,12,3,0%,0%,1,1
italian liquor names,0,0,12,19,0%,0%,1,1
bogof pizza,0,0,12,36,0%,0%,4.42,13.72
the anhor pub quiz,0,0,12,0,0%,0%,4.67,0
best place to watch planes at heathrow,0,0,12,0,0%,0%,7.58,0
christmas party venues heathrow,0,0,12,187,0%,0%,10.17,22.23
pubs near royal holloway,0,0,12,0,0%,0%,11.75,0
bars near me,0,0,12,47,0%,0%,13.92,14.83
terminal 4 restaurants,0,0,12,9,0%,0%,25.17,51.89
hemisphere heathrow,0,0,12,12,0%,0%,28.83,43.83
pubs staines,0,0,12,55,0%,0%,29.58,34.35
pub anchor,0,0,12,23,0%,0%,30.08,27.3
anchor offers,0,0,12,153,0%,0%,34.17,62.52
terminal 2 restaurants heathrow,0,0,12,4,0%,0%,35.83,42.5
heathrow parking t5 long stay,0,0,12,0,0%,0%,37.42,0
heathrow terminal 5 restaurants,0,0,12,6,0%,0%,37.83,40.33
heathrow restaurants terminal 2,0,0,12,6,0%,0%,38.58,43
restaurants heathrow terminal 2,0,0,12,6,0%,0%,39.5,36.83
egham to heathrow terminal 4,0,0,12,0,0%,0%,46,0
heathrow long stay car park t5,0,0,12,0,0%,0%,46.17,0
long stay car park london heathrow,0,0,12,0,0%,0%,50.92,0
london the anchor,0,0,12,29,0%,0%,51.75,78
italian liquor,0,0,11,53,0%,0%,1,1
anchor,0,0,11,144,0%,0%,5.27,3.06
country pubs near heathrow,0,0,11,26,0%,0%,5.73,10.88
the anchor reviews,0,0,11,18,0%,0%,7,6.67
pub near heathrow terminal 5,0,0,11,12,0%,0%,9.45,10.75
roast dinners near me,0,0,11,3,0%,0%,16.55,4.33
anchor photography,0,0,11,0,0%,0%,27.45,0
heathrow area restaurants,0,0,11,0,0%,0%,27.55,0
pubs bath road heathrow,0,0,11,2,0%,0%,39.09,31
bingo countdown,0,0,11,0,0%,0%,43.36,0
book parking heathrow,0,0,11,0,0%,0%,45.27,0
low cost heathrow parking,0,0,11,0,0%,0%,45.91,0
italian liquor brands,0,0,10,12,0%,0%,1,1
list of shots,0,0,10,0,0%,0%,1,0
what are some symbols of dia de los muertos,0,0,10,0,0%,0%,1,0
anchor christmas menu,0,0,10,0,0%,0%,2.7,0
the anchor sunday menu,0,1,10,36,0%,2.78%,3.9,7.44
pint of inches,0,0,10,1,0%,0%,5.3,10
the anchor pub surrey,0,0,10,47,0%,0%,7,18.17
pizza two for tuesday,0,0,10,0,0%,0%,7.7,0
t5 stores stanwell moor,0,0,10,14,0%,0%,8.5,11.93
tuesday pizza offer,0,0,10,7,0%,0%,11.6,17
what junction is heathrow on m25,0,0,10,0,0%,0%,12.6,0
best pubs near heathrow,0,0,10,13,0%,0%,13.6,24.54
tequila tasting event,0,0,10,0,0%,0%,16,0
sunday roast,0,0,10,6,0%,0%,17.4,16.83
stanwell moor village,0,0,10,20,0%,0%,17.6,27.7
2 for tuesdays,0,0,10,0,0%,0%,23.1,0
christmas dinner,0,0,10,1,0%,0%,24.1,3
roasts near me,0,0,10,3,0%,0%,26.4,9.33
lunch deals royal holloway,0,0,10,0,0%,0%,31.1,0
food to eat royal holloway,0,0,10,0,0%,0%,37.4,0
cheap long stay parking heathrow,0,0,10,0,0%,0%,38.7,0
terminal 5 heathrow restaurants,0,0,10,10,0%,0%,44.3,39.3
car parking terminal 5 heathrow long stay,0,0,10,0,0%,0%,44.4,0
heathrow long stay parking terminal 2 & 3,0,0,10,0,0%,0%,48,0
heathrow airport parking terminal 2 long stay,0,0,10,0,0%,0%,51.9,0
non alcoholic pimm's tesco,0,0,10,0,0%,0%,66.1,0
the anchor southwark,0,0,10,29,0%,0%,69.6,51.93
conference venue at heathrow,0,0,10,0,0%,0%,71.8,0
meeting room staines,0,0,10,0,0%,0%,83,0
italian alcohol,0,0,9,63,0%,0%,1,1
italian liqueurs list,0,0,9,40,0%,0%,1,1
symbols for dia de los muertos,0,0,9,0,0%,0%,1,0
the anchor pub and restaurant menu,0,0,9,1,0%,0%,5.33,1
the anchor bar menu,0,0,9,4,0%,0%,7,31.25
anchor oub,0,0,9,6,0%,0%,7.33,6.67
best christmas parties heathrow,0,0,9,1,0%,0%,7.89,24
2 for tuesday deals,0,0,9,0,0%,0%,9,0
kids birthday party heathrow,0,0,9,0,0%,0%,17.11,0
roast dinner,0,0,9,9,0%,0%,17.44,11.33
pubs in ashford surrey,0,0,9,9,0%,0%,18.78,20
best pub food near me,0,1,9,11,0%,9.09%,19.44,20.55
terminal 5 heathrow short stay car park postcode,0,0,9,0,0%,0%,19.78,0
best sunday roast in staines,0,0,9,73,0%,0%,22.44,31.33
long term parking london heathrow,0,0,9,0,0%,0%,27,0
bars near heathrow,0,0,9,7,0%,0%,27.33,32
hotels near heathrow with on-site event coordinators,0,0,9,5,0%,0%,29.11,55.4
heathrow t2 short term parking,0,0,9,0,0%,0%,29.78,0
cheapest heathrow parking,0,0,9,0,0%,0%,34.11,0
terminal 3 heathrow restaurants,0,0,9,8,0%,0%,34.78,43.25
the anchor inn menu,0,0,9,10,0%,0%,37.78,25.6
restaurants near staines,0,0,9,7,0%,0%,43.89,56
short stay parking heathrow 2,0,0,9,0,0%,0%,45.22,0
parking at heathrow terminal 2 long stay,0,0,9,0,0%,0%,49,0
the anchor danbury,0,0,9,16,0%,0%,55.78,50.44
eltham sunday roast,0,0,9,0,0%,0%,78.33,0
meet and celebrate heathrow,0,0,9,6,0%,0%,85.56,73.67
2 for 1 pizza cambridge,0,0,9,0,0%,0%,86.33,0
london heathrow meeting rooms,0,0,9,0,0%,0%,88.22,0
what is the cheapest car park at heathrow airport,0,0,9,0,0%,0%,91.33,0
best liqueur,0,0,8,8,0%,0%,1,1
captain morgan spiced rum apple cider,0,0,8,0,0%,0%,1,0
common bar shots,0,0,8,28,0%,0%,1,1
famous irish whiskey,0,0,8,11,0%,0%,1,1.09
liquor types,0,0,8,10,0%,0%,1,1
popular liqueurs,0,0,8,12,0%,0%,1,1
2 for 1 pizza tuesday,0,0,8,1,0%,0%,6.5,5
bogof pizza near me,0,0,8,26,0%,0%,8.5,11.12
the anchor scunthorpe menu,0,0,8,2,0%,0%,11.25,37
pubs in heathrow terminal 5,0,0,8,0,0%,0%,11.38,0
the anchor danbury menu,0,0,8,15,0%,0%,11.88,14.07
best roast near me,0,0,8,10,0%,0%,12,11.3
egham pub,0,0,8,5,0%,0%,12.12,29.4
pizza offer tuesday,0,0,8,3,0%,0%,12.5,24.67
restaurants,0,0,8,5,0%,0%,13.38,34.4
drop anchor wine,0,0,8,0,0%,0%,14.38,0
best sunday roast near me,0,1,8,16,0%,6.25%,14.88,11.12
indian restaurant near heathrow airport,0,0,8,0,0%,0%,16,0
anchor public house,0,0,8,1,0%,0%,16.38,28
british chip shop,0,0,8,34,0%,0%,20.75,14.56
pubs,0,0,8,22,0%,0%,22.62,13.36
heathrow restaurants terminal 4,0,0,8,4,0%,0%,30.62,45.75
heathrow terminal 4 parking charges short stay,0,0,8,0,0%,0%,33.25,0
cheap parking heathrow,0,0,8,0,0%,0%,36.75,0
terminal 4 heathrow food,0,0,8,0,0%,0%,37,0
car park heathrow cheap,0,0,8,0,0%,0%,45.25,0
parking terminal 5 heathrow long stay,0,0,8,0,0%,0%,47.25,0
long term parking at heathrow airport,0,0,8,0,0%,0%,51.5,0
